切れる踏切と	断掉的平交道
 そうきっとデニールの意味さえわかってないくせに	但我猜你一定不知道丹尼的意思吧ω
次と その次と	向着无数个下一站
その次と線を引き続けた	画出一条长长的直线
次の目的地を描くんだ	勾画出我的 下一个目的地 目的地
このまま君を連れて行くと	就这样带你一同前往
丁寧丁寧丁寧に描くと	小心翼翼一笔一画的勾勒
揺れたり震えたりした線で	笔尖微颤歪歪扭扭的线条
丁寧丁寧丁寧に描く と決めていたよ	心意已决每一笔都要细心勾勒
次も その次も	下一站 下下一站
その次もまだ目的地じゃない	下下下一站仍然不是我最终的目的地
夢の景色を探すんだ	一直在寻找 梦想的景色 景色
このまま君を連れて行くと	就这样带你一起前往
未完成のパズル どうしてだろう何かが足りない	还未完成的拼图 不知为何仍缺失一角
行き違いの運命 離れていくことも知りながら	早已知晓我们因命运之路不同而终将分离
また歩く	即使如此 我依旧会踏出脚步
i stay alive 今は独り闇を彷徨さまようだけ	i stay alive 如今却徘徊在无尽的黑暗之中
stay 意外にも切なさが胸の中消えぬままで	stay 悲伤于心中竟然也依旧挥之不去
不安定な思想 離れ過ぎて 片方見えない	只因距离不安定的思想甚远 其一面之形却已然模糊不清
目印さえないから ふと目を閉じては	没有任何目标地闭上双眼
また祈る	再一次 轻轻地祈祷
oh stay alive 今はどんなこと思ってるのでしょう	oh stay alive 如今 你正在思考着什么呢吧
泣いていないけど 独りはやっぱり寂しくてさ	忍住了在眼眶中打转转的泪水 但是一个人的话果然很孤独呢
ずっと祈った stay alive	一直祈祷着 stay alive
未完成のパズル うまくいかなくて	还未完成的拼图 缺失的部分还未拼起来
音もない澄んだ風に心揺らす	心在毫无声音的清风之中 慢慢摇曳
i stay alive 今はここで何をしてるの	i stay alive 在此处又在做着什么呢
stay 意外にも切なさが胸の中消えぬままで	stay 悲伤于心中仍旧挥之不去
朝から晩まで修行したんで	从早到晚不断修行
俊敏さならまかせてちょうだい	灵活度就交给我啦
一切手加減しないで	不要有任何的手下留情
そう心頭滅却 火もまた涼し	是啊心情自然凉
耐えがたきを耐え忍んだんで	这么难受也要忍耐
超人的なタフさも売りよ	超人般的耐力也是卖点啊
ちょっとやそっとじゃ倒れない	不会因小小的困难而挫败
疑心を器量で埋めるプラクティスが	实践以器量掩埋多疑心
きっと力になって	必定会成为力量
心の目で善悪が見えてくる	用心眼辨别善恶
組み手のイメトレとかも慣れてきた	对打的想象力训练已经习惯了
ちょっと余裕じゃんね	有些游刃有余呢
もっと手ごわい相手を出してみて	来些更强劲的对手
いざ勝負	一决胜负
上段下段と蹴りで崩して	用上段踢下段踢击溃
左抜き手でお命頂戴	噼起左手纳命来吧
必殺キックが効かないなんて	什么必杀踢竟然没有效
コイツちょっと強すぎじゃね	这家伙是不是有些强的过头了
連戦連勝とはいかないね	没办法连战连胜呢
とても無理なこと	过于强人所难
あなたを超える為に	为了变得比你还强
明日から毎日修行だぜ	明天开始每天修行
いくぜ	开始啦
打ちのめされても明日に着地	即使大受打击明天也会站起来
能ある鷹も爪むき出して	连有能力的老鹰也伸出爪子
一切手加減しません	没有任何的手下留情
孤独な森の中 黒く湛える神社には	在孤独的森林之中 在漆黑的神社之中
 静かな 想いと裏腹に咲く ひぐらしの唄あそび	与静静的心情相背地绽放 寒蝉的歌声游戏
 夕暮れにざわめく空 遠くで鳴く風鈴が	在黄昏骚动起来的天空 在遥远之处作响的风铃
 戻れない世 固く結んだ手を今隔てた	无法回去的世界 将紧紧相连的手 现在分隔开来
 何故私は君に触れない	为什么我 碰不到你
 何故僕は君が見えない	为什么我 看不见你
 逃げ出す二人を 掻き回した夏の匂い	对逃出的两人 作乱的夏日的气味
 暦は続くはずの長月が 最初はじめから無かったように	在历法上本应继续的九月 仿佛从最初开始就不存在
 壊れた存在の 歯車が軋んだ	坏掉的存在的齿轮 吱吱作响
 回って回って 何度も君を呼んだ	旋转着旋转着 一次次地呼唤着你
 聞こえない触れない こんな近くなのに	听不见 碰不到 明明就在如此近处
 透けてる身体も 愛しいのに焼かれて	透明的身体也 明明深爱着却如焦灼
 もう一度会いたい	想再一次 与你相见
 八月よ私を返して 取り戻す術を頂戴	八月啊 请将我归还 请告诉我 恢复的方法
 ソラにはナツキが見えなくなっていた	sora无法看见natsuki
 そして彼自身もこの世界から離れかけていた	然后他自己也离开了这个世界
 夕暮れにざわめく空 枝分かれの小道にて	在黄昏骚动起来的天空 来到了分岔出去的小路
 君はもう戻ること無い日を 手放そうと	你已经 对无法回去的日子 放开了手
 今行くよ 永久の夏まで	现在走吧 直到永久的夏天
 許してね 馬鹿な私を	请原谅 笨蛋的 我
 微笑んで僕を離した 君のこと愛せたかなねぇ	微笑着离开了我 我一直都深爱着你啊
 巻戻る夏の唄声 消えた僕らだけの8月32日	不断重复的夏日的歌声 只属于消失了的我们的8月32日
 彼は目を覚ました	他睁开了眼睛
 何かが欠けた九月一日に	在缺少了什么的九月一日
 ひぐらしが泣いていた	寒蝉在哭泣着
いつまでも僕だけは忘れない 	无论何时只有我是忘不掉的
あの日をもう二度と悔やまない 	已经不想再后悔那天的事情了
消えない傷跡はそのまま 	无法消逝的伤痕就放任不管
それが僕にできることのすべて 	这就是于我而言能做到的所有事了
君のいない世界で 	于你不在的世界里
それでも前向きに歩いていけるかな 	即使如此也能大步行走吗
8月の夢の中 君は向こう岸で微笑う 	在八月的梦里 你于对岸微笑
私があなたの元に来てから	来到您身旁的时光
もうすぐ一年だね	已将近一年呢
あの時感じた温かさを	那时候感受到的温暖
今でもまだ覚えてる	至今仍深深记得
真っ暗な部屋の中で	在阴暗的小房间里
押し寄せる不安の渦を	内心涌出不安的漩涡
すくい上げたあなたの笑顔	是你的笑容带给我救赎
眩い光が溢れ出した夏の日を	如夏日的阳光漫溢出的炫目光芒
今すぐ抱き締めて	好想现在就紧紧拥抱你
幸せに鍵をかけてしまおう	让这份幸福加上一个锁
優しい思い出達を	为了不让每一滴
ひと粒もこぼしてしまわぬように	温柔的回忆洒落出来一般
チョコレートみたいに甘い夢に	也曾为渴望巧克力那般甜美的
焦がれた事もあった	梦境而焦躁过
あなたと分け合ったコトノハは	与你一起分享的一字一句
大事に残しているよ	依然珍贵的留藏著
カラフルな夜の街で	曾经在缤纷色彩夜景下
二人見つめ合った事も	相互凝视著彼此
砕けたガラスを彩った月	玻璃的碎片在月光的渲染下
明かりの下で全ては繋がっていく	不断编织起来
このまま側にいて	请陪伴在我身边
変わらずに私を愛していて	永远不变地爱著我
これからの二人の事	我们的未来
誰よりも考えているんだから	我会比任何人都重视它
遅れてきてしまった私には	虽然晚到的我
ジューンブライドの魔力は	无法接受六月婚礼的
働かないけれど	女神为我祝福
もっともっと強い絆で結ばれてるよ	但我们有著更强韧的羁绊连结著
二人でこれからもいろんな	期盼著二个人一起
世界を見てみたいの	迈向更广阔的世界
銀色の道の上で	在银白的道路上
私達今でも変わらず輝いている	我们依然不变的闪耀著
その手離さないで	请别放开你的手
あんまり浮気はしちゃダメだよ	不可以喜新厌旧唷
色褪せない	请紧记著那份
思い出を噛みしめて	不会褪色的思念
再び誓い合おう	在此再次立下誓言
あなたの言葉を今	你说过的话
ひとつずつ振り返る	一句一句的回荡耳畔
優しくて力強く甘くて	温柔有力又甜美
教えてよその態度	告诉我吧 你的态度
私への愛なのか	是对我的爱吗
判らない優しいあなた	优柔寡断的你
8月の風暖かく吹く	8月的风温暖的吹过
私を騙してるかも知れない	可能是在骗我吧
この人についてゆく	跟这个人在一起
そう決めていいものか	这么决定好吗
判断ができない私がいる	我不知道该怎么办
恋愛の寄り道が出来る程	我没有闲心也没有时间
私には心のゆとりも時間ときもない	在爱情的道路上绕远
8月の風ごめんなさい	请原谅 8月的风
素直になれないだって怖い	正因为无法坦白才可怕
まっすぐに走るフリ一ウェイ	一望无际的高速公路
送られる帰り道	你送我回家的路
街近く夜明けも近くなって	快到家时 天也快亮了
切なさを言い出せず	你感觉到了
